Id,FIRST_NAME,LAST_NAME,TITLE,HOME_ADDRESS_LINE1,HOME_ADDRESS_LINE2,HOME_CITY_NAME,HOME_COUNTRY_NAME,LANDLINE_NUMBER,MOBILE_NUMBER,COURT,SEAT,DATE
38500,Kenneth,Jourdan,Mr,5 West Road,NULL,Irthlingborough,United Kingdom,441003887972,447511920149,2,Level: 1 Block: 14 Seat: 9,2015-07-09
52000,Shirley,Fleming,Miss,1 East Drive,NULL,Stourbridge,United Kingdom,441294367250,447757416832,2,Level: 1 Block: 4 Seat: 45,2015-07-11
34500,Debra,Busch,Mrs,5 Court Road,NULL,Blacon,United Kingdom,NULL,447886322006,0,Level: 3 Block: 10 Seat: 33,2015-07-09
48000,Larry,Land,Mr,2 End Road,NULL,Great Wyrley,United Kingdom,NULL,447496168025,0,Level: 2 Block: 15 Seat: 29,2015-07-11
32500,Esther,Jones,Ms,2 West Terrace,NULL,Rugby,United Kingdom,441788961117,447726413194,0,Level: 1 Block: 14 Seat: 61,2015-07-09
46000,Phoebe,Beasley,Ms,South House,84 View Street,West Bridgford,United Kingdom,441979495962,447847541613,0,Level: 1 Block: 4 Seat: 57,2015-07-11
52500,Richard,Gane,Mr,3 South Road,NULL,Blacon,United Kingdom,NULL,447476068697,2,Level: 1 Block: 10 Seat: 53,2015-07-11
50500,Robert,Roy,Mr,33 High Street,NULL,Congleton,United Kingdom,441260688945,447734588307,1,Level: 2 Block: 5 Seat: 31,2015-07-11
26000,Angela,Owen,Mrs,Park House,6 Forest Road,Stevenage,United Kingdom,441438915853,447948146006,0,Level: 2 Block: 8 Seat: 1,2015-07-08
39500,Jean,White,Miss,17 Hawthorn Street,NULL,Cirencester,United Kingdom,NULL,447898971537,0,Level: 1 Block: 12 Seat: 75,2015-07-10
53000,Barry,Pollard,Mr,8 Pleasant Street,NULL,Armitage,United Kingdom,NULL,447723422290,0,Level: 1 Block: 2 Seat: 71,2015-07-12
22000,Nancy,Taylor,Mrs,15 Holly Way,NULL,Great Gonerby,United Kingdom,441509678614,447551133729,1,Level: 2 Block: 5 Seat: 99,2015-07-07
35500,Timothy,Rainey,Mr,4 Trinity Road,NULL,Shrewsbury,United Kingdom,NULL,447756942766,1,Level: 1 Block: 6 Seat: 50,2015-07-09
24500,Iain,Martinez,Mr,8 Heath Green,NULL,Luton,United Kingdom,441582065041,447792855948,0,Level: 1 Block: 3 Seat: 61,2015-07-08
53276,Frank,Freeman,Mr,49 Great Way,NULL,Newport Pagnell,United Kingdom,441760981213,447439298663,0,Level: 1 Block: 6 Seat: 35,2015-07-12
29500,Diane,Thomas,Ms,27 Mill Road,NULL,Norton Canes,United Kingdom,441284085583,447427736230,1,Level: 3 Block: 1 Seat: 37,2015-07-08
43000,Ann,Gigliotti,Miss,View House,5 Park Street,Balsall Common,United Kingdom,441150974931,447599239731,1,Level: 2 Block: 1 Seat: 93,2015-07-10
56500,Melissa,Jess,Ms,55 Oaks Road,NULL,Witney,United Kingdom,441993224522,447730024322,1,Level: 1 Block: 2 Seat: 44,2015-07-12
25500,Aurora,Swift,Ms,97 West Lane,NULL,Tipton,United Kingdom,441238801655,447434919814,0,Level: 2 Block: 1 Seat: 47,2015-07-08
39000,Donna,Patel,Ms,Court Cottage,4 Bay Road,Blaby,United Kingdom,441609892639,447465291115,0,Level: 1 Block: 6 Seat: 43,2015-07-10
41000,Ivy,Christopher,Miss,42 High Road,NULL,Stamford,United Kingdom,441780163197,447540959548,0,Level: 3 Block: 2 Seat: 15,2015-07-10
54500,Mary,Parsons,Miss,47 Hill Gardens,NULL,Higham Ferrers,United Kingdom,441132197769,447988971547,0,Level: 2 Block: 7 Seat: 11,2015-07-12
49500,Wayne,Cartagena,Mr,9 Green Close,NULL,Ryton,United Kingdom,NULL,447932640159,1,Level: 1 Block: 3 Seat: 81,2015-07-11
33000,Carrie,Garcia,Ms,1 Court Place,NULL,Woburn Sands,United Kingdom,NULL,447536562514,0,Level: 2 Block: 6 Seat: 15,2015-07-09
46500,Albert,Mazzeo,Mr,37 Oak Grove,NULL,Bartley Green,United Kingdom,441047515390,447784200411,0,Level: 1 Block: 11 Seat: 11,2015-07-11
42500,Linda,Greig,Mrs,5 Royal Close,NULL,Woburn Sands,United Kingdom,441824270183,447436275038,1,Level: 1 Block: 5 Seat: 13,2015-07-10
56000,Phillip,Miner,Mr,12 Farm Avenue,NULL,Syston,United Kingdom,NULL,447856523135,0,Level: 3 Block: 11 Seat: 29,2015-07-12
22500,Carla,Begum,Mrs,West Cottage,3 West Road,Spalding,United Kingdom,441775873026,447499207730,1,Level: 3 Block: 2 Seat: 74,2015-07-07
36000,Martyn,Aldrich,Mr,1 High Road,NULL,Loughborough,United Kingdom,NULL,447579517801,1,Level: 2 Block: 3 Seat: 25,2015-07-09
20500,Marilyn,Marshall,Mrs,69 Court Road,NULL,Burton Upon Trent,United Kingdom,441714229381,447715658208,0,Level: 3 Block: 14 Seat: 5,2015-07-07
38000,Ruth,Camp,Ms,3 Court Avenue,NULL,Oundle,United Kingdom,NULL,447448547472,2,Level: 1 Block: 8 Seat: 1,2015-07-09
51500,Chelsie,Zeno,Mrs,Farm House,36 West Street,Gloucester,United Kingdom,NULL,447516019948,1,Level: 3 Block: 6 Seat: 86,2015-07-11
31500,Maria,Barber,Ms,19 East Drive,NULL,Whittlesey,United Kingdom,NULL,447869060099,0,Level: 1 Block: 1 Seat: 75,2015-07-09
45000,Sherry,Daniels,Miss,6 East Road,NULL,Countesthorpe,United Kingdom,NULL,447525842287,2,Level: 1 Block: 6 Seat: 23,2015-07-10
58500,Tanya,Davis,Ms,View Flat,88 East Road,Deeside,United Kingdom,441600599628,447920620763,1,Level: 3 Block: 5 Seat: 49,2015-07-12
59500,Justin,Gonzales,Mr,25 Court Way,NULL,Shirebrook,United Kingdom,NULL,447932042680,2,Level: 1 Block: 8 Seat: 75,2015-07-12
37500,Nick,Kelly,Mr,1 Spa Road,NULL,Glenfield,United Kingdom,441464424720,447871734664,2,Level: 1 Block: 1 Seat: 75,2015-07-09
51000,Raquel,Donaldson,Mrs,22 River Lane,NULL,Bloxwich,United Kingdom,NULL,447733142118,1,Level: 3 Block: 2 Seat: 6,2015-07-11
20000,Sidney,Little,Mr,73 New Road,NULL,Stevenage,United Kingdom,441438754125,447438554545,0,Level: 3 Block: 7 Seat: 51,2015-07-07
33500,Deborah,Mctaggart,Mrs,8 Park Street,NULL,Tipton,United Kingdom,NULL,447523410298,0,Level: 2 Block: 12 Seat: 47,2015-07-09
47000,Tammie,Mangino,Ms,Moor House,46 Castle Lane,Wolverhampton,United Kingdom,441902286628,447444109633,0,Level: 2 Block: 2 Seat: 43,2015-07-11
